token,dep_type,pos,immediate_head_text,immediate_head_pos,immediate_head_dep_type,higher_head_text,higher_head_pos,higher_head_dep_type,assosiate_phrase,assosiate_phrase_n
именно,advmod,PART,устранения,NOUN,obl,устранения,NOUN,obl,для их устранения,3.0
именно,advmod,PART,здесь,ADV,advmod,осуществляется,VERB,advcl,", поскольку здесь осуществляется непосредственная работа с физическими и юридическими лицами ― субъектами территорий",14.0
именно,advmod,PART,того,PRON,obl,того,PRON,obl,"для того , чтобы привлечь к себе мужские взгляды , ведь твой макияж и так безупречен",16.0
именно,advmod,PART,баланса,NOUN,obl,баланса,NOUN,obl,для платёжного баланса России,4.0
именно,advmod,PART,наличие,NOUN,nsubj,наличие,NOUN,nsubj,наличие этих двух областей,4.0
именно,advmod,PART,времени,NOUN,obl,времени,NOUN,obl,Именно с этого времени,4.0
именно,advmod,PART,публика,NOUN,conj,публика,NOUN,conj,публика,1.0
именно,advmod,PART,Эльмар,PROPN,nsubj,Эльмар,PROPN,nsubj,Эльмар,1.0
именно,advmod,PART,случае,NOUN,conj,случае,NOUN,conj,", но в случае необходимости",5.0
именно,advmod,PART,встала,VERB,ROOT,встала,VERB,ROOT,встала,1.0
именно,advmod,PART,осмысления,NOUN,obl,осмысления,NOUN,obl,для качественного теоретического осмысления полученных за последние полвека данных,9.0
именно,advmod,PART,какую,DET,det,какую,DET,det,какую,1.0
именно,advmod,PART,тема,NOUN,nsubj,тема,NOUN,nsubj,тема кризиса художника,3.0
именно,advmod,PART,жизни,NOUN,nmod,Интерес,NOUN,nsubj:pass,Интерес к повседневной жизни столицы,5.0
именно,advmod,PART,так,ADV,advmod,характеризуют,VERB,parataxis,― все характеризуют его так,5.0
именно,advmod,PART,этих,DET,det,этих,DET,det,этих,1.0
именно,advmod,PART,жюри,NOUN,obl,жюри,NOUN,obl,в жюри ( как называют ещё суд присяжных ),9.0
именно,advmod,PART,сейчас,ADV,advmod,причём,ADV,conj,", причём сейчас",3.0
именно,advmod,PART,вода,NOUN,nsubj,вода,NOUN,nsubj,вода,1.0
именно,advmod,PART,им,PRON,iobj,им,PRON,iobj,им,1.0
именно,advmod,PART,весной,NOUN,obl,весной,NOUN,obl,весной,1.0
именно,advmod,PART,вызове,NOUN,obl,вызове,NOUN,obl,"в вызове , а не в создании дополнительных тепличных условий",10.0
именно,advmod,PART,таким,DET,ROOT,таким,DET,ROOT,таким,1.0
именно,advmod,PART,поддержку,NOUN,obl,поддержку,NOUN,obl,как поддержку,2.0
именно,advmod,PART,этом,PRON,obl,этом,PRON,obl,Вот об этом,3.0
именно,advmod,PART,одного,NUM,obl,одного,NUM,obl,"от одного из своих двойников , который узнал о трагедии первым",11.0
именно,advmod,PART,Волошин,PROPN,nsubj,Волошин,PROPN,nsubj,Волошин,1.0
именно,advmod,PART,году,NOUN,obl,году,NOUN,obl,в этом году,3.0
именно,advmod,PART,эта,DET,det,эта,DET,det,эта,1.0
именно,advmod,PART,тому,PRON,obl,тому,PRON,obl,К тому же,3.0
именно,advmod,PART,глава,NOUN,nsubj,глава,NOUN,nsubj,глава президентской администрации Александр Волошин,5.0
именно,advmod,PART,год,NOUN,obl,год,NOUN,obl,спустя год,2.0
именно,advmod,PART,связи,NOUN,obl,связи,NOUN,obl,"Только вот в той связи , что олигархи ( даже когда это тайные олигархи из бизнес - корпораций силовиков ) ― залог нашего будущего ,",25.0
именно,advmod,PART,такие,DET,det,такие,DET,det,такие,1.0
именно,advmod,PART,российские,ADJ,amod,видеопираты,NOUN,nsubj,российские видеопираты,2.0
именно,advmod,PART,принципу,NOUN,obl,принципу,NOUN,obl,"по упомянутому выше принципу экологичности , во - вторых , потому , что в них используются в основном дикорастущие виды растений , а "" дикари "" , как известно , гораздо выносливее и , соответственно , проще в уходе , чем их формы и декоративные "" родственники """,48.0
именно,advmod,PART,это,PRON,nsubj,это,PRON,nsubj,это,1.0
именно,advmod,PART,эта,DET,det,эта,DET,det,эта,1.0
именно,advmod,PART,здесь,ADV,advmod,проведена,VERB,conj,", однако здесь была проведена одна из первых наступательных операций Красной Армии , спасшая весь Северо - Запад",18.0
именно,advmod,PART,последние,ADJ,nsubj,последние,ADJ,nsubj,последние,1.0
именно,advmod,PART,такому,DET,det,такому,DET,det,такому,1.0
именно,advmod,PART,регионах,NOUN,obl,регионах,NOUN,obl,в этих одиннадцати регионах [ 7 ],7.0
именно,advmod,PART,нелинейностью,NOUN,obl,нелинейностью,NOUN,obl,в связи с нелинейностью развития сложных систем,7.0
именно,advmod,PART,наши,DET,det,наши,DET,det,наши,1.0
именно,advmod,PART,журналах,NOUN,obl,журналах,NOUN,obl,в толстых литературных журналах ( и почти исключительно в них ),11.0
именно,advmod,PART,здесь,ADV,advmod,окончит,VERB,ccomp,", что здесь окончит свои дни",6.0
именно,advmod,PART,языке,NOUN,obl,языке,NOUN,obl,о русском языке,3.0
